speed_m_s,eigenvalue_real_s_inv,eigenvalue_imag_s_inv
7.300000000000001,-2.309569903658219,7.579128739868552
7.300000000000001,0.11912822793897168,0.0
7.4,-19.001376065144168,0.0
7.4,-2.365571859901025,-7.7061738008327065
7.4,-2.365571859901025,7.7061738008327065
7.4,0.1236487533794194,0.0
7.5,-19.213365324321366,0.0
7.5,-2.421151540566281,-7.8328020079861975
7.5,-2.421151540566281,7.8328020079861975
7.5,0.12775857616324685,0.0
7.6000000000000005,-19.425776325139974,0.0
7.6000000000000005,-2.476332828701767,-7.959034377115956
7.6000000000000005,-2.476332828701767,7.959034377115956
7.6000000000000005,0.13149335552895708,0.0
7.7,-19.63859734895085,0.0
7.7,-2.531137630872059,-8.084890545825512
7.7,-2.531137630872059,8.084890545825512
7.7,0.13488518595654272,0.0
7.800000000000001,-19.85181705329828,0.0
7.800000000000001,-2.5855860908280426,-8.210388879233804
7.800000000000001,-2.5855860908280426,8.210388879233804
7.800000000000001,0.13796301249208043,0.0
7.9,-20.065424460085392,0.0
7.9,-2.6396967752566334,-8.335546567253727
7.9,-2.6396967752566334,8.335546567253727
7.9,0.14075299041247283,0.0
8.0,-20.279408943945363,0.0
8.0,-2.693486835810906,-8.46037971396929
8.0,-2.693486835810906,8.46037971396929
8.0,0.14327879765712498,0.0
8.1,-20.493760220840148,0.0
8.1,-2.746972150915589,-8.584903419660435
8.1,-2.746972150915589,8.584903419660435
8.1,0.14556190703740465,0.0
8.200000000000001,-20.708468336903845,0.0
8.200000000000001,-2.8001674502664162,-8.709131856030544
8.200000000000001,-2.8001674502664162,8.709131856030544
8.200000000000001,0.1476218240788565,0.0
8.3,-20.92352365754448,0.0
8.3,-2.8530864244703364,-8.833078335176689
8.3,-2.8530864244703364,8.833078335176689
8.3,0.14947629540345855,0.0
8.4,-21.138916856814618,0.0
8.4,-2.9057418218852584,-8.956755372820133
8.4,-2.9057418218852584,8.956755372820133
8.4,0.15114149177957392,0.0
8.5,-21.354638907058604,0.0
8.5,-2.958145534397093,-9.080174746283303
8.5,-2.958145534397093,9.080174746283303
8.5,0.15263216932334359,0.0
8.6,-21.570681068841544,0.0
8.6,-3.0103086736066693,-9.203347547667422
8.6,-3.0103086736066693,9.203347547667422
8.6,0.15396181180156643,0.0
8.700000000000001,-21.787034881163553,0.0
8.700000000000001,-3.0622416386779348,-9.326284232650092
8.700000000000001,-3.0622416386779348,9.326284232650092
8.700000000000001,0.1551427565422217,0.0
8.8,-22.003692151960397,0.0
8.8,-3.113954176914417,-9.448994665288616
8.8,-3.113954176914417,9.448994665288616
8.8,0.15618630608818096,0.0
8.9,-22.220644948890737,0.0
8.9,-3.1654554379768793,-9.571488159182527
8.9,-3.1654554379768793,9.571488159182527
8.9,0.15710282741954398,0.0
9.0,-22.437885590408264,0.0
9.0,-3.216754022524859,-9.693773515317767
9.0,-3.216754022524859,9.693773515317767
9.0,0.1579018403091685,0.0
9.1,-22.655406637116453,0.0
9.1,-3.267858025956325,-9.815859056886154
9.1,-3.267858025956325,9.815859056886154
9.1,0.1585920961564055,0.0
9.200000000000001,-22.87320088340243,0.0
9.200000000000001,-3.31877507782619,-9.937752661347343
9.200000000000001,-3.31877507782619,9.937752661347343
9.200000000000001,0.1591816484582443,0.0
9.3,-23.091261349345586,0.0
9.3,-3.36951237744724,-10.059461789975792
9.3,-3.36951237744724,10.059461789975792
9.3,0.15967791591963387,0.0
9.4,-23.30958127289622,0.0
9.4,-3.4200767261094858,-10.180993515112812
9.4,-3.4200767261094858,10.180993515112812
9.4,0.16008773907086243,0.0
9.5,-23.5281541023187,0.0
9.5,-3.4704745562975816,-10.302354545323507
9.5,-3.4704745562975816,10.302354545323507
9.5,0.1604174311456904,0.0
9.600000000000001,-23.746973488893524,0.0
9.600000000000001,-3.52071195823744,-10.423551248639498
9.600000000000001,-3.52071195823744,10.423551248639498
9.600000000000001,0.16067282387630086,0.0
9.700000000000001,-23.966033279871464,0.0
9.700000000000001,-3.5707947040610004,-10.544589674051808
9.700000000000001,-3.5707947040610004,10.544589674051808
9.700000000000001,0.1608593087775379,0.0
9.8,-24.18532751167462,0.0
9.8,-3.620728269843063,-10.665475571402908
9.8,-3.620728269843063,10.665475571402908
9.8,0.1609818744209299,0.0
9.9,-24.4048504033362,0.0
9.9,-3.6705178557323004,-10.786214409812901
9.9,-3.6705178557323004,10.786214409812901
9.9,0.16104514013710655,0.0
10.0,-24.624596350173643,0.0
10.0,-3.7201684043728234,-10.906811394762826
10.0,-3.7201684043728234,10.906811394762826
10.0,0.16105338653171147,0.0
